timestamp,new_bikes_shared,is_weekend,temp_c,wind_speed,weather_code
1/4/2015 0:00,182,1,3,6,3
1/4/2015 1:00,138,1,3,5,1
1/4/2015 2:00,134,1,2.5,0,1
1/4/2015 3:00,72,1,2,0,1
1/4/2015 4:00,47,1,2,6.5,1
1/4/2015 5:00,46,1,2,4,1
1/4/2015 6:00,51,1,1,7,4
1/4/2015 7:00,75,1,1,7,4
1/4/2015 8:00,131,1,1.5,8,4
1/4/2015 9:00,301,1,2,9,3
1/4/2015 10:00,528,1,3,12,3
1/4/2015 11:00,727,1,2,12,3
1/4/2015 12:00,862,1,2,13,4
1/4/2015 13:00,916,1,3,15,3
1/4/2015 14:00,1039,1,2.5,8,3
1/4/2015 15:00,869,1,2,11,3
1/4/2015 16:00,737,1,3,12,3
1/4/2015 17:00,594,1,3,11,3
1/4/2015 18:00,522,1,3,6.5,3
1/4/2015 19:00,379,1,3,7,3
1/4/2015 20:00,328,1,3,4,3
1/4/2015 21:00,221,1,3,5,4
1/4/2015 22:00,178,1,3,6,4
1/4/2015 23:00,157,1,4,5,4
1/5/2015 0:00,83,0,4,6,4
1/5/2015 1:00,67,0,4,5,4
1/5/2015 2:00,32,0,5,6,4
1/5/2015 3:00,22,0,6,7.5,4
1/5/2015 4:00,38,0,6.5,8,4
1/5/2015 5:00,81,0,6,5,4
1/5/2015 6:00,444,0,7,5,3
1/5/2015 7:00,1597,0,7,6.5,3
1/5/2015 8:00,3161,0,8,5,3
1/5/2015 9:00,1342,0,8,6,3
1/5/2015 10:00,568,0,9,6.5,3
1/5/2015 11:00,584,0,9,10,3
1/5/2015 12:00,762,0,10,11,3
1/5/2015 13:00,873,0,10,10,3
1/5/2015 14:00,672,0,10,9,3
1/5/2015 15:00,807,0,10,10,3
1/5/2015 16:00,1192,0,10,13,3
1/5/2015 17:00,2761,0,9.5,12,3
1/5/2015 18:00,2389,0,9.5,14,3
1/5/2015 19:00,1274,0,9,14,3
1/5/2015 20:00,696,0,9,14,3
1/5/2015 21:00,411,0,9,11,3
1/5/2015 22:00,324,0,9,10,4
1/5/2015 23:00,192,0,8.5,8,4
1/6/2015 0:00,91,0,8,8,4
1/6/2015 1:00,73,0,8,8,4
1/6/2015 2:00,33,0,8,11,4
1/6/2015 3:00,19,0,8,14,4
1/6/2015 4:00,40,0,8.5,11,4
1/6/2015 5:00,74,0,8,14,4
1/6/2015 6:00,530,0,8,15,3
1/6/2015 7:00,1715,0,9,13,3
1/6/2015 8:00,3534,0,9,12,7
1/6/2015 9:00,1573,0,9,16,7
1/6/2015 10:00,635,0,10,19.5,3
1/6/2015 11:00,550,0,10,18,3
1/6/2015 12:00,395,0,11,19,7
1/6/2015 13:00,426,0,9.5,27.5,3
1/6/2015 14:00,579,0,9,26,3
1/6/2015 15:00,718,0,8,23,2
1/6/2015 16:00,1184,0,8,19.5,2
1/6/2015 17:00,2662,0,7.5,22,1
1/6/2015 18:00,2610,0,7,17.5,1
1/6/2015 19:00,1402,0,6,15,1
1/6/2015 20:00,720,0,5.5,15,1
1/6/2015 21:00,494,0,5,15,1
1/6/2015 22:00,344,0,4.5,13,1
1/6/2015 23:00,212,0,4,12,1
1/7/2015 0:00,102,0,4,12,1
1/7/2015 1:00,60,0,4,11,1
1/7/2015 2:00,33,0,4,10,1
1/7/2015 3:00,26,0,3.5,9,2
1/7/2015 4:00,33,0,4,10,2
1/7/2015 5:00,80,0,4,9,1
1/7/2015 6:00,526,0,5,10,1
1/7/2015 7:00,1757,0,5.5,13,1
1/7/2015 8:00,3618,0,6.5,15,2
1/7/2015 9:00,1714,0,8,19,3
1/7/2015 10:00,763,0,8,19.5,2
1/7/2015 11:00,690,0,9,21,2
1/7/2015 12:00,913,0,9,27,2
1/7/2015 13:00,982,0,9.5,28,2
1/7/2015 14:00,783,0,10,28.5,2
1/7/2015 15:00,794,0,9,25,2
1/7/2015 16:00,1171,0,9,25,3
1/7/2015 17:00,2647,0,9.5,24,3
1/7/2015 18:00,2579,0,10,30,3
1/7/2015 20:00,657,0,10,30.5,3
1/7/2015 21:00,516,0,10,27,7
1/7/2015 22:00,414,0,10,27,7
1/7/2015 23:00,206,0,10,24,7
1/8/2015 0:00,123,0,11,26,4
1/8/2015 1:00,56,0,11.5,24,3
1/8/2015 2:00,51,0,12,25,3
1/8/2015 3:00,33,0,12,22,3
1/8/2015 4:00,32,0,12,20.5,7
1/8/2015 5:00,87,0,12,20.5,7
1/8/2015 6:00,511,0,11.5,17,3
1/8/2015 7:00,982,0,10.5,17,7
1/8/2015 8:00,1228,0,9.5,14,7
1/8/2015 9:00,573,0,9,13,7
1/8/2015 10:00,185,0,9,14,7
1/8/2015 11:00,193,0,9,20.5,7
1/8/2015 12:00,522,0,9,17,2
1/8/2015 13:00,672,0,9,27,2
1/8/2015 14:00,761,0,10,22,2
1/8/2015 15:00,781,0,9,22,2
1/8/2015 16:00,1212,0,9,19.5,2
1/8/2015 17:00,2351,0,9,22,2
1/8/2015 18:00,2110,0,8.5,22.5,1
1/8/2015 19:00,1239,0,8,20.5,1
1/8/2015 20:00,752,0,8,17,1
1/8/2015 21:00,457,0,8,20.5,1
1/8/2015 22:00,423,0,8.5,21,1
1/8/2015 23:00,267,0,9,27,2
1/9/2015 0:00,147,0,10,28,2
1/9/2015 1:00,60,0,10,30,7
1/9/2015 2:00,65,0,10,29.5,7
1/9/2015 3:00,42,0,11,29,3
1/9/2015 4:00,47,0,11,33,3
1/9/2015 5:00,85,0,11.5,33,3
1/9/2015 6:00,441,0,12,32.5,3
1/9/2015 7:00,1593,0,12,31.5,3
1/9/2015 8:00,3505,0,12,25,2
1/9/2015 9:00,1768,0,12,30,2
1/9/2015 10:00,799,0,12.5,29.5,1
1/9/2015 11:00,806,0,13,28,1
1/9/2015 12:00,1052,0,13,26,1
1/9/2015 13:00,1078,0,13,30,1
1/9/2015 14:00,976,0,13,26,2
1/9/2015 15:00,912,0,13.5,33.5,7
1/9/2015 16:00,1229,0,13,37,7
1/9/2015 17:00,2409,0,13.5,35,7
1/9/2015 18:00,1983,0,15,36,7
1/9/2015 19:00,1094,0,15.5,41,7
1/9/2015 20:00,686,0,15,44,3
1/9/2015 21:00,443,0,15,41,3
1/9/2015 22:00,464,0,15,40,3
1/9/2015 23:00,420,0,14,41.5,4
1/10/2015 0:00,392,1,14,39,4
